Name,Botanical Name,Density (g/cm^3),Janka Hardness (N),Modulus of Rupture (MPa),Modulus of Elasticity (GPa)
Abiurana,Chrysophyllum prieuri,1.20,15404,188.0,17.7
Abiurana,Pouteria guianensis,1.00,13381,161.5,16.3
Acacia (Big-Leaf),Acacia mangium,0.54,4372,77.2,10.2
Acacia (Small-Leaf),Racosperma confusum,0.75,8038,117.5,13.4
Acapu (Brazilian Brownheart),Vouacapoua americana,0.98,12963,158.0,16.1
Acariquara,Minquartia guianensis,1.04,14017,167.2,16.6
Acupuri,Micrandropsis scleroxylon,1.22,15382,190.2,17.8
Afromosia,Pericopsis elata,0.75,8038,117.5,13.4
Algarrobo (Mesquite),Prosopis nigra,0.82,9661,131.4,14.4
Aguano Masha,Paramachaerium spp,0.79,8897,125.0,13.9
Amendoim (Ybyraro),Pterogyne nitens,0.80,9115,126.8,14.1
Andiroba (Royal Mahogany),Carapa guianensis,0.70,7117,109.0,12.8
Angelim Pedra,Hymenolobium petraeum,0.69,6824,106.1,12.6
Angelim vermelho,Dinizia excelsa,1.00,13381,161.5,16.3
Apitong (Keruing),Dipterocarpus spp.,0.79,8897,125.0,13.9
Araracanga,Aspidosperma desmanthum,0.83,9848,132.9,14.5
Azobe (Ekki),Lophira alata,1.08,14586,172.9,16.9
Banya,Swartzia bannia,1.25,15253,193.3,18.0
Batu (Red Balau),Shorea spp.,0.85,10218,135.9,14.7
Birch,Betula ssp.,0.61,5399,90.6,11.3
Bloodwood,Brosimum rubiscens,1.08,14586,172.9,16.9
Boco,Bocoa prouacensis,1.32,14484,199.5,18.3
Braúna preta,Melanoxylon brauna,1.05,14168,168.6,16.7
Breu,Trattinnickia burserifolia,0.64,5907,96.4,11.8
California Redwood,Sequoia sempervirens,0.45,3376,60.3,8.5
Cambara Mahogany,Erisma uncinatum,0.65,6081,98.4,12.0
Cedar (Western Red),Thuja plicata,0.41,3051,53.1,7.8
Cherry (American),Prunus serotina,0.54,4426,78.0,10.2
Chontaquiro,Diplotropis purpurea,0.86,10440,137.7,14.8
Cooktown Ironwood,Erythrophleum chlorostachys,1.22,15382,190.2,17.8
Copaiba (Bacana),Copaifera langsdorfii,0.50,3883,69.6,9.5
Coracao-de-Negro,Swartzia corrugata,1.30,14773,197.8,18.2
Cuchi (Aroeira-do-sertão),Myracrodruon urundeuva,1.21,15400,189.1,17.8
Cumaru (Brazilian Teak),Dipteryx odorata,1.08,14586,172.9,16.9
Cupiuba,Goupia glabra,0.86,10382,137.2,14.8
Curupau (Patagonian Rosewood),Anadenanthera colubrina,1.02,13687,164.2,16.4
Curupixa,Micropholis venulosa,0.82,9555,130.5,14.3
Cypress,Taxodium distichum,0.31,2566,36.8,5.8
Douglas Fir,Pseudotsuga menziesii,0.53,4243,75.3,10.0
Ebano de Mexico,Libidibia sclerocarpa,1.25,15253,193.3,18.0
Eucalyptus grandis (Lyptus),Eucalyptus grandis,0.65,6009,97.6,11.9
Faveira,Parkia nitida,0.47,3563,64.0,9.0
